filename	ATTRIBUTE_preparation_batch	ATTRIBUTE_City_Collection	ATTRIBUTE_State_Collection	ATTRIBUTE_Zip	ATTRIBUTE_Hypocrea.pachybasioides.positive	ATTRIBUTE_Ophiocordyceps.heteropoda.positive	ATTRIBUTE_tested.against.T..cruzi	ATTRIBUTE_Activity.against.T..cruzi	ATTRIBUTE_NOAA_ClimateRegions
P37_G11_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_G12_no_no_no_unknown_190919202341.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H1_no_no_no_unknown_190919195705.mzXML	2	Midwest City	OK	73130	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H2_no_no_no_unknown.mzXML	2	Choctaw	OK	73020	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H3_no_no_no_unknown.mzXML	2	Jones	OK	73049	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H4_no_no_no_unknown.mzXML	2	Choctaw	OK	73020	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H5_no_no_no_unknown.mzXML	2	Wellston	OK	74881	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H6_no_no_no_unknown.mzXML	2	Meeker	OK	74855	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H8_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_H9_no_no_no_unknown.mzXML	2	Mustang	OK	73064	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_A11_no_no_no_unknown.mzXML	2	Jones	OK	73049	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B1_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B10_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B11_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B12_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B2_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B3_no_no_no_unknown.mzXML	2	Midwest City	OK	73130	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B4_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B5_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_B9_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C10_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C11_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C12_no_no_no_unknown_190919211650.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C2_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C3_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C4_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C5_no_yes_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C6_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C7_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C8_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_C9_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D1_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D10_no_no_no_unknown.mzXML	2	Choctaw	OK	73020	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D11_no_no_no_unknown.mzXML	2	Tulsa	OK	74011	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D12_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D2_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D3_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D4_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D5_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D6_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D7_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P38_D8_no_no_no_unknown.mzXML	2	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_E10_no_no_no_unknown.mzXML	1	Coos Bay	OR	97420	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NorthWest
P35_D10_no_no_no_unknown.mzXML	1	Hummelstown	PA	17036	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P35_D11_yes_no_yes_no.mzXML	1	Etters	PA	17319	yes_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	NE
P35_D12_yes_no_yes_yes.mzXML	1	Gilbertsville	PA	19525	yes_Hypocrea	no_Ophiocordyceps	Yes_testingTc	yes_activityTc	NE
P35_D3_no_no_yes_no.mzXML	1	Hummelstown	PA	17036	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	NE
P35_G9_no_yes_no_unknown.mzXML	1	Hummelstown	PA	17036	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P35_H1_no_no_no_unknown_190919174403.mzXML	1	Etters	PA	17319	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P37_A1_no_no_no_unknown_190919194348.mzXML	2	Collegeville	PA	19426	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P37_B1_no_no_no_unknown.mzXML	2	Collegeville	PA	19426	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P37_B6_no_no_no_unknown.mzXML	2	Limerick	PA	19468	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P37_E11_no_no_no_unknown.mzXML	2	Limerick	PA	19468	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P38_D9_no_no_no_unknown.mzXML	2	Norristown	PA	19403	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
QC_end.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190918100902.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190918131434.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190918162005.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190918192542.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190918223112.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190919015002.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190919045533.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190919111949.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
QC_mid_190919142520.mzXML	QC	QC	QC	QC	QC	QC	QC	QC	QC
P37_G2_no_no_no_unknown.mzXML	2	Knoxville	TN	37932	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G3_no_no_no_unknown.mzXML	2	Oak Ridge	TN	37830	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G4_no_yes_no_unknown.mzXML	2	Oak Ridge	TN	37830	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G5_no_no_no_unknown.mzXML	2	Oak Ridge	TN	37830	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G6_no_no_no_unknown.mzXML	2	Oak Ridge	TN	37830	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G7_no_no_no_unknown.mzXML	2	Oak Ridge	TN	37830	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G8_no_no_no_unknown_190919213007.mzXML	2	Oak Ridge	TN	37830	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_G9_no_yes_no_unknown.mzXML	2	Knoxville	TN	37932	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_E3_no_yes_no_unknown.mzXML	1	Spring	TX	77386	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_A5_no_no_no_unknown.mzXML	2	Spring	TX	77386	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_D4_no_no_no_unknown.mzXML	1	Virginia Beach	VA	23454	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_F10_no_no_no_unknown.mzXML	2	Virginia Beach	VA	23454	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_G10_no_no_no_unknown.mzXML	1	La Crosse	WI	54601	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	East North Central
P37_B7_yes_no_no_unknown.mzXML	2	La Crosse	WI	54601	yes_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	East North Central
